filename,arrow_d,arrow_l,arrow_r,arrow_u,diamond,rectangle
000051_jpg.rf.824f827f0d63b30c6beedef8bfc3524d.jpg,0,0,0,0,1,0
000003_jpg.rf.7f4d466c759b32015955e03bccbe84e7.jpg,1,0,0,0,1,1
000001_jpg.rf.b9ff8da8ef877d914b93f7ec66c7da63.jpg,1,1,1,0,1,1
000036_jpg.rf.51cddf0190b007b252037c038b812645.jpg,1,0,1,0,1,1
000045_jpg.rf.a179749f800b01b80f93fd4b1dabd2f3.jpg,1,1,1,0,0,1
000057_jpg.rf.090c6dd4a602b7ddc8bb7eb869ca00f4.jpg,1,0,1,0,1,1
000152_jpg.rf.4e0ebd0fdcaae039acf7cedb5f39d7e9.jpg,1,0,1,0,1,1
000028_jpg.rf.7e7cfb24e098ee2db517c2aff5267066.jpg,1,1,1,0,1,1
000129_jpg.rf.bddb54aeff3aeac0ab297508ba4d9983.jpg,1,0,0,0,1,1
000035_jpg.rf.3cf7f9ac8e04bf499a2559f8cf556957.jpg,1,0,1,0,1,1
000084_jpg.rf.bf578ce82f438d1549a599c50d0403d3.jpg,1,0,1,0,1,1
000039_jpg.rf.fc1f10fa651f29cdef7469e0880bd3fe.jpg,1,1,1,1,1,1
000085_jpg.rf.d34c860b947f19f1189a6caa9cd9affb.jpg,1,0,0,0,1,1
000114_jpg.rf.21fd09b57095db5ad9ec2f5935b8528e.jpg,1,0,0,0,1,1
000025_jpg.rf.6ab45b89928a7e3619ae59d97d1124ac.jpg,1,0,0,0,1,1
000146_jpg.rf.3adb948956d5ace87087732540a797c5.jpg,1,0,1,0,0,1
000107_jpg.rf.8004a7bbfffe1c938bcea0b7bc9ae560.jpg,1,0,0,0,1,1
000072_jpg.rf.79f87f92da909f7ab44da86a7ba782d8.jpg,0,1,1,0,1,1
000013_jpg.rf.e381e03bcb005511e591511ce69bf3a6.jpg,1,1,0,1,1,1
000008_jpg.rf.45d001f5bb8168d379678b6a83695ba6.jpg,0,0,0,0,1,1
000093_jpg.rf.036019c94d3654874c1d4efe3ab5dbde.jpg,1,0,1,0,1,1
000047_jpg.rf.0c18247d859087bff3aeaf5d15c201c9.jpg,1,1,1,1,1,1
000044_jpg.rf.4660a273e23a8c25be5a254a3e77ceb9.jpg,1,1,1,0,1,1
000033_jpg.rf.220ac0ef374824bf9409a0b42558fb0e.jpg,1,1,1,1,1,1
000062_jpg.rf.40f4e45703acc95052aef5157b3f2b65.jpg,1,1,1,0,1,1
000048_jpg.rf.831c4b2f33c58040a3ac0922fb3e4399.jpg,1,0,1,0,1,1
000009_jpg.rf.6831a1b1be4f21ec6f1cfd5eaf5ef50a.jpg,1,0,1,0,1,1
000100_jpg.rf.6f78bea3e8072a050ebcffbc5588032e.jpg,1,1,1,0,0,1
000037_jpg.rf.8a11dcc7bfee433298531a0508a6ea85.jpg,1,0,1,1,1,1
000095_jpg.rf.42a2499e1dbfe06781eb54ebcb841ff9.jpg,1,1,1,1,1,1
000083_jpg.rf.af7e6b81cc64a298751937bc268a7cf1.jpg,1,1,1,1,0,1
000071_jpg.rf.51d77e1453211c43a92973eb2eb7d6d8.jpg,1,1,1,0,1,1
000049_jpg.rf.8dc56fb09f2a604172a0f03c2dee65a2.jpg,1,0,0,0,0,1
000064_jpg.rf.2dc1561aaa3d61b2b6b26192b7f86733.jpg,1,0,1,0,1,1
000020_jpg.rf.c62e95feae7bf4380353c5bbb5c83826.jpg,1,0,0,0,1,1
000012_jpg.rf.f48ce4d5d7d7077bcb3bddbbbad291fe.jpg,1,0,1,1,1,1
000002_jpg.rf.b1136642ac5031f22ba86952e2f80184.jpg,1,0,0,0,1,1
000121_jpg.rf.68b97d91f19f2f1b6ee08bc1983851b5.jpg,1,1,1,0,0,1
